,formatted_rules,cleaned_rules,lang
935,意図的に誤った情報を共有したり、誤解を招くような情報を流布する行為は禁止します。信頼性と正確性を保つことが重要です。,意図的に誤った情報を共有したり誤解を招くような情報を流布する行為は禁止します信頼性と正確性を保つことが重要です,non-Englsih
936,広告、プロモーション、またはその他の未承認の商業的な内容（いわゆるスパム）を送信したり、投稿することは禁止します。,広告プロモーションまたはその他の未承認の商業的な内容いわゆるスパムを送信したり投稿することは禁止します,non-Englsih
937,SNS上で個人的な紛争をエスカレートさせることは避けてください。問題が発生した場合は、プライベートな通信手段を使用したり、必要な場合には適切な法執行機関に連絡してください。,sns上で個人的な紛争をエスカレートさせることは避けてください問題が発生した場合はプライベートな通信手段を使用したり必要な場合には適切な法執行機関に連絡してください,non-Englsih
938,This server is hosted and used by only two people so we don't really have any rules.,this server is hosted and used by only two people so we dont really have any rules,English
939,this is a single user instance. No account creation here so no specific rule is needed. I'm not the kind of person that insult or harass people anyway ^^,this is a single user instance no account creation here so no specific rule is needed im not the kind of person that insult or harass people anyway,English
940,むやみにサーバーを破壊しない,むやみにサーバーを破壊しない,non-Englsih
941,No sexual content involving minors (including artistic depictions); no gore or extremely graphic violence (including artistic depictions),no sexual content involving minors including artistic depictions no gore or extremely graphic violence including artistic depictions,English
942,"No bigotry (i.e. National Socialism, Nazism, Holocaust denial, racism, alt right/""free speech"", transphobia, misogyny) - critical discussion is OK. Any images of explicit hate symbols being discussed (e.g. swastikas) must be under a Content Warning",no bigotry ie national socialism nazism holocaust denial racism alt rightfree speech transphobia misogyny critical discussion is ok any images of explicit hate symbols being discussed eg swastikas must be under a content warning,English
943,"No trolling, blatantly inciting violence, or dangerous misinformation (e.g. antivax, conspiracy theories) - critical discussion is OK",no trolling blatantly inciting violence or dangerous misinformation eg antivax conspiracy theories critical discussion is ok,English
944,No bots or automated mass following/content aggregation ,no bots or automated mass followingcontent aggregation,English
945,Don't be a jerk!,dont be a jerk,non-Englsih
946,"This server is all-inclusive, respect everyone.

We don't discriminate against anyone for any reason, with the exception of rule #3",this server is allinclusive respect everyone we dont discriminate against anyone for any reason with the exception of rule 3,English
947,"No hateful activity.

Hateful activity and speech will not be tolerated.  ",no hateful activity hateful activity and speech will not be tolerated,English
948,"C'est mon serveur, si tu veux un compte, faut me demander.",cest mon serveur si tu veux un compte faut me demander,non-Englsih
949,差別を無くす方向で、快適さを保ちます,差別を無くす方向で快適さを保ちます,non-Englsih
950,No faggotry,no faggotry,non-Englsih
951,No personal information,no personal information,non-Englsih
952,No dick pics,no dick pics,non-Englsih
953,Be nice,be nice,non-Englsih
954,No spamming / unsolicited messages.,no spamming unsolicited messages,non-Englsih
955,"No insult, discrimination and harassment.",no insult discrimination and harassment,non-Englsih
956,No incitement to crime.,no incitement to crime,non-Englsih
957,No extremist content.,no extremist content,non-Englsih
958,Sexual content must be marked accordingly.,sexual content must be marked accordingly,English
959,Content depicting violence must be marked accordingly.,content depicting violence must be marked accordingly,English
960,Welcome to The NAP Platform!,welcome to the nap platform,English
961,Everyone can join this community!,everyone can join this community,English
962,Don't rude to anyone,dont rude to anyone,non-Englsih
963,"On The NAP Platform, you MUST follow Taiwanese laws",on the nap platform you must follow taiwanese laws,English
964,"We accept NSFW content, but you must label it as sensitive content",we accept nsfw content but you must label it as sensitive content,English
965,Have FUN!,have fun,non-Englsih
966,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
967,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
